date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:31:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Jan%202022%2015:31:39%20GMT	http://localhost/wp/utama	C:/My%20Web%20Sites/cryptometaio/localhost/wp/utama.0.delayed	(from )
22:31:41	296/296	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Jan%202022%2015:31:41%20GMT	http://localhost/robots.txt		(from )
22:31:47	200125/200125	---MC-	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2015:31:41%20GMT	http://localhost/wp/utama/	C:/My%20Web%20Sites/cryptometaio/localhost/wp/utama/index.html	(from )
22:31:47	80574/80574	---M--	200	added ('OK')	text/css	etag:%2213abe-5cae72efad580%22	http://localhost/wp/wp-includes/css/dist/block-library/style.min.css?ver=5.8.3	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-includes/css/dist/block-library/style.minc8d8.css	(from http://localhost/wp/utama/)
22:31:48	476/476	---M--	200	added ('OK')	text/css	etag:%221dc-5d623892440e3%22	http://localhost/wp/wp-content/plugins/animated-typing-effect/assets/css/cursor.css?ver=5.8.3	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/animated-typing-effect/assets/css/cursorc8d8.css	(from http://localhost/wp/utama/)
22:31:48	156153/156153	---M--	200	added ('OK')	text/css	etag:%22261f9-5c76f3f3fdb00%22	http://localhost/wp/wp-content/themes/twentytwentyone/style.css?ver=1.4	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/themes/twentytwentyone/stylead05.css	(from http://localhost/wp/utama/)
22:31:50	1958/1958	---M--	200	added ('OK')	application/rss+xml	etag:%229553d630565e48a2953bafe7ad98599f%22	http://localhost/wp/feed/	C:/My%20Web%20Sites/cryptometaio/localhost/wp/feed/index.html	(from http://localhost/wp/utama/)
22:31:50	2897/2897	---M--	200	added ('OK')	text/css	etag:%22b51-5b3ed2fda25c0%22	http://localhost/wp/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.4	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/themes/twentytwentyone/assets/css/printad05.css	(from http://localhost/wp/utama/)
22:31:51	120523/120523	---M--	200	added ('OK')	text/css	etag:%221d6cb-5d6272e0a021a%22	http://localhost/wp/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons.css?ver=2.5.2	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons16b9.css	(from http://localhost/wp/utama/)
22:31:52	3001/3001	---M--	200	added ('OK')	text/css	etag:%22bb9-5d6272b8c7fe9%22	http://localhost/wp/wp-content/plugins/elementskit/modules/parallax/assets/css/style.css?ver=2.6.0	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/elementskit/modules/parallax/assets/css/styled315.css	(from http://localhost/wp/utama/)
22:31:53	232517/232517	---M--	200	added ('OK')	text/css	etag:%2238c45-5d62410dd5b71%22	http://localhost/wp/wp-content/plugins/jet-elements/assets/css/jet-elements.css?ver=2.6.1	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/jet-elements/assets/css/jet-elementsc141.css	(from http://localhost/wp/utama/)
22:31:53	1684/1684	---M--	200	added ('OK')	application/rss+xml	etag:%22a73022793942e00a325088d4e668995b%22	http://localhost/wp/comments/feed/	C:/My%20Web%20Sites/cryptometaio/localhost/wp/comments/feed/index.html	(from http://localhost/wp/utama/)
22:31:54	17679/17679	---M--	200	added ('OK')	text/css	etag:%22450f-5d62410dd3847%22	http://localhost/wp/wp-content/plugins/jet-elements/assets/css/jet-elements-skin.css?ver=2.6.1	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/jet-elements/assets/css/jet-elements-skinc141.css	(from http://localhost/wp/utama/)
22:31:55	18900/18900	---M--	200	added ('OK')	text/css	etag:%2249d4-5d62358f1368a%22	http://localhost/wp/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.13.0	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min05c8.css	(from http://localhost/wp/utama/)
22:31:56	98820/98820	---M--	200	added ('OK')	text/css	etag:%2218204-5d62358d591ac%22	http://localhost/wp/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.5.3	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/elementor/assets/css/frontend-lite.min1aae.css	(from http://localhost/wp/utama/)
22:31:57	946/946	---M--	200	added ('OK')	text/css	etag:%223b2-5d6242bbc143b%22	http://localhost/wp/wp-content/uploads/elementor/css/post-6.css?ver=1642825724	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/elementor/css/post-662c1.css	(from http://localhost/wp/utama/)
22:31:58	315820/315820	---M--	200	added ('OK')	text/css	etag:%224d1ac-5d62427817ae2%22	http://localhost/wp/wp-content/plugins/powerpack-elements/assets/css/min/frontend.min.css?ver=2.3.7	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/powerpack-elements/assets/css/min/frontend.minc0b8.css	(from http://localhost/wp/utama/)
22:31:58	127275/127275	---M--	200	added ('OK')	text/css	etag:%221f12b-5d62356c098f6%22	http://localhost/wp/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.5.2	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min49eb.css	(from http://localhost/wp/utama/)
22:32:00	257107/257107	---M--	200	added ('OK')	text/css	etag:%223ec53-5d6242eb18209%22	http://localhost/wp/wp-content/uploads/elementor/css/global.css?ver=1642825774	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/elementor/css/global2b17.css	(from http://localhost/wp/utama/)
22:32:02	112917/112917	---M--	200	added ('OK')	text/css	etag:%221b915-5d62cfef89bae%22	http://localhost/wp/wp-content/uploads/elementor/css/post-45.css?ver=1642863628	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/elementor/css/post-4507c0.css	(from http://localhost/wp/utama/)
22:32:05	443664/443664	---M--	200	added ('OK')	text/css	etag:%226c510-5d6272e12ccaa%22	http://localhost/wp/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=2.5.2	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles16b9.css	(from http://localhost/wp/utama/)
22:32:06	238104/238104	---M--	200	added ('OK')	text/css	etag:%223a218-5d6272b91cb04%22	http://localhost/wp/wp-content/plugins/elementskit/widgets/init/assets/css/widget-styles-pro.css?ver=2.6.0	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/elementskit/widgets/init/assets/css/widget-styles-prod315.css	(from http://localhost/wp/utama/)
22:32:08	30283/30283	---M--	200	added ('OK')	text/css	etag:%22764b-5d6272e126ee3%22	http://localhost/wp/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive.css?ver=2.5.2	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive16b9.css	(from http://localhost/wp/utama/)
22:32:10	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%222bd8-5b45debe27b80%22	http://localhost/wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://localhost/wp/utama/)
22:32:11	14759/14759	---M--	200	added ('OK')	application/javascript	etag:%2239a7-5d6272b8c9f2d%22	http://localhost/wp/wp-content/plugins/elementskit/modules/parallax/assets/js/jarallax.js?ver=2.6.0	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/elementskit/modules/parallax/assets/js/jarallaxd315.js	(from http://localhost/wp/utama/)
22:32:15	780/780	---M--	200	added ('OK')	text/xml	date:Sat,%2022%20Jan%202022%2015:32:14%20GMT	http://localhost/wp/xmlrpc.php?rsd	C:/My%20Web%20Sites/cryptometaio/localhost/wp/xmlrpc0db0.php	(from http://localhost/wp/utama/)
22:32:15	89521/89521	---M--	200	added ('OK')	application/javascript	etag:%2215db1-5bd3006388300%22	http://localhost/wp/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-includes/js/jquery/jquery.minaf6c.js	(from http://localhost/wp/utama/)
22:32:16	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/wp/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-includes/wlwmanifest.xml	(from http://localhost/wp/utama/)
22:32:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Jan%202022%2015:32:16%20GMT	http://localhost/wp/?p=45	C:/My%20Web%20Sites/cryptometaio/localhost/wp/index5e74.html	(from http://localhost/wp/utama/)
22:32:18	2260/2260	---M--	200	added ('OK')	application/json	date:Sat,%2022%20Jan%202022%2015:32:16%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2Futama%2F	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-json/oembed/1.0/embed55b6.json	(from http://localhost/wp/utama/)
22:32:19	2348/2348	---M--	200	added ('OK')	text/xml	date:Sat,%2022%20Jan%202022%2015:32:18%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2Futama%2F&format=xml	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-json/oembed/1.0/embed387b	(from http://localhost/wp/utama/)
22:32:20	1444/1444	---M--	200	added ('OK')	image/png	etag:%225a4-5d62cd28f0383%22	http://localhost/wp/wp-content/uploads/2022/01/cropped-123-32x32.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/cropped-123-32x32.png	(from http://localhost/wp/utama/)
22:32:21	11026/11026	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2022%20Jan%202022%2015:32:19%20GMT	https://kit.fontawesome.com/54a5abcf68.js	C:/My%20Web%20Sites/cryptometaio/kit.fontawesome.com/54a5abcf68.js	(from http://localhost/wp/utama/)
22:32:22	8448/8448	---M--	200	added ('OK')	image/png	etag:%222100-5d62cd28e5fe2%22	http://localhost/wp/wp-content/uploads/2022/01/cropped-123-192x192.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/cropped-123-192x192.png	(from http://localhost/wp/utama/)
22:32:22	7504/7504	---M--	200	added ('OK')	image/png	etag:%221d50-5d62cd28ec679%22	http://localhost/wp/wp-content/uploads/2022/01/cropped-123-180x180.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/cropped-123-180x180.png	(from http://localhost/wp/utama/)
22:32:22	1760/1760	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Jan%202022%2015:32:22%20GMT	http://localhost/wp/wp-content/plugins/elementskit/modules/parallax/	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/elementskit/modules/parallax/index.html	(from http://localhost/wp/utama/)
22:32:23	6037/6037	---M--	200	added ('OK')	image/png	etag:%221795-5d6274daa7c6a%22	http://localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-11.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-11.png	(from http://localhost/wp/utama/)
22:32:23	5193/5193	---M--	200	added ('OK')	image/png	etag:%221449-5d62afbd16ff7%22	http://localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-9.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-9.png	(from http://localhost/wp/utama/)
22:32:24	5078/5078	---M--	200	added ('OK')	image/png	etag:%2213d6-5d62afd606285%22	http://localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-10.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-10.png	(from http://localhost/wp/utama/)
22:32:24	5416/5416	---M--	200	added ('OK')	image/png	etag:%221528-5d62afe0a586e%22	http://localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-8.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-8.png	(from http://localhost/wp/utama/)
22:32:25	5836/5836	---M--	200	added ('OK')	image/png	etag:%2216cc-5d62b03fe31df%22	http://localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-12.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-12.png	(from http://localhost/wp/utama/)
22:32:27	5320/5320	---M--	200	added ('OK')	image/png	etag:%2214c8-5d62b05eff8e5%22	http://localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-4.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-4.png	(from http://localhost/wp/utama/)
22:32:28	5412/5412	---M--	200	added ('OK')	image/png	etag:%221524-5d62b069fe235%22	http://localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-3.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-3.png	(from http://localhost/wp/utama/)
22:32:29	5455/5455	---M--	200	added ('OK')	image/png	etag:%22154f-5d62b811b66ae%22	http://localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-6.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/MasiveBuddy-6.png	(from http://localhost/wp/utama/)
22:32:29	1985/1985	---M--	200	added ('OK')	text/css	etag:%227c1-5d627929ee92d%22	http://localhost/wp/wp-content/uploads/elementor/css/post-127.css?ver=1642840335	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/elementor/css/post-12777de.css	(from http://localhost/wp/utama/)
22:32:30	38038/38038	---M--	200	added ('OK')	image/png	etag:%229496-5d62b04db4be2%22	http://localhost/wp/wp-content/uploads/2022/01/MassiveBuddy-13.png	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/uploads/2022/01/MassiveBuddy-13.png	(from http://localhost/wp/utama/)
22:32:30	18468/18468	---M--	200	added ('OK')	text/css	etag:%224824-5d62358eedfb0%22	http://localhost/wp/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.5.3	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/elementor/assets/lib/animations/animations.min1aae.css	(from http://localhost/wp/utama/)
22:32:32	150237/150237	---MC-	200	added ('OK')	application/json	date:Sat,%2022%20Jan%202022%2015:32:10%20GMT	http://localhost/wp/wp-json/	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-json/index.html	(from http://localhost/wp/utama/)
22:32:32	16278/16278	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Jan%202022%2015:32:29%20GMT	http://localhost/wp/utama/Trident/	C:/My%20Web%20Sites/cryptometaio/localhost/wp/utama/Trident/index.html	(from http://localhost/wp/utama/)
22:32:32	729/729	---M--	200	added ('OK')	application/javascript	etag:%222d9-5d62389246bda%22	http://localhost/wp/wp-content/plugins/animated-typing-effect/assets/js/typed.fe.js?ver=1	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/animated-typing-effect/assets/js/typed.fe68b3.js	(from http://localhost/wp/utama/)
22:32:33	1127/1127	---M--	200	added ('OK')	application/javascript	etag:%22467-5c628affae440%22	http://localhost/wp/wp-content/themes/twentytwentyone/assets/js/polyfills.js?ver=1.4	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/themes/twentytwentyone/assets/js/polyfillsad05.js	(from http://localhost/wp/utama/)
22:32:33	15615/15615	---M--	200	added ('OK')	application/javascript	etag:%223cff-5d62389247f64%22	http://localhost/wp/wp-content/plugins/animated-typing-effect/assets/js/typed.js?ver=1	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/plugins/animated-typing-effect/assets/js/typed68b3.js	(from http://localhost/wp/utama/)
22:32:33	1127/1127	---M--	200	added ('OK')	application/javascript	etag:%22467-5b6aa349db6c0%22	http://localhost/wp/wp-content/themes/twentytwentyone/assets/js/responsive-embeds.js?ver=1.4	C:/My%20Web%20Sites/cryptometaio/localhost/wp/wp-content/themes/twentytwentyone/assets/js/responsive-embedsad05.js	(from http://localhost/wp/utama/)
